Rank,City,Country,Population
0,Mexico City,Mexico,8918653
1,New York City,United States,8550405
2,Los Angeles,United States,3971883
3,Toronto,Canada,2826498
4,Chicago,United States,2720546
5,Houston,United States,2296224
6,Havana,Cuba,2117625
7,Montreal,Canada,1753034
8,Ecatepec de Morelos,Mexico,1677678
9,Philadelphia,United States,1567442
10,Phoenix,United States,1563025
11,San Antonio,United States,1469845
12,Guadalajara,Mexico,1460148
13,Puebla,Mexico,1437939
14,San Diego,United States,1394928
15,Juárez,Mexico,1382753
16,León,Mexico,1349224
17,Dallas,United States,1300092
18,Tijuana,Mexico,1298475
19,Calgary,Canada,1230915
20,Tegucigalpa,Honduras,1190230
21,Zapopan,Mexico,1179681
22,Monterrey,Mexico,1109171
23,Managua,Nicaragua,1048134
24,Nezahualcóyotl,Mexico,1039867
25,San Jose,United States,1026908
26,Santo Domingo,Dominican Republic,1007997
27,Guatemala City,Guatemala,994078
28,Port-au-Prince,Haiti,987310
29,Naucalpan,Mexico,970012
30,Ottawa,Canada,956710
31,Austin,United States,931830
32,Edmonton,Canada,899447
33,Mérida,Mexico,892363
34,Querétaro,Mexico,878931
35,Toluca,Mexico,873536
36,Jacksonville,United States,868031
37,Chihuahua,Mexico,867736
38,San Francisco,United States,864816
39,Indianapolis,United States,853173
40,Columbus,United States,850106
41,Fort Worth,United States,833319
42,Charlotte,United States,827097
43,Hermosillo,Mexico,819999
44,Saltillo,Mexico,791074
45,Aguascalientes,Mexico,785942
46,Mississauga,Canada,761300
47,San Luis Potosí,Mexico,759854
48,Veracruz,Mexico,752171
49,San Pedro Sula,Honduras,742118
50,Santiago de los Caballeros,Dominican Republic,723162
51,Culiacán,Mexico,720798
52,Winnipeg,Canada,718400
53,Mexicali,Mexico,717628
54,Cancún,Mexico,711682
55,Acapulco,Mexico,710261
56,Tlalnepantla,Mexico,700734
57,Seattle,United States,684451
58,Guadalupe,Mexico,682880
59,Denver,United States,682545
60,El Paso,United States,681124
61,Chimalhuacán,Mexico,679811
62,Detroit,United States,677116
63,"Washington, D.C.",United States,672228
64,Kingston,Jamaica,669627
65,Boston,United States,667137
66,Tlaquepaque,Mexico,664193
67,Memphis,United States,655770
68,Nashville,United States,654610
69,Torreón,Mexico,653150
70,Vancouver,Canada,648608
71,Portland,United States,632309
72,Reynosa,Mexico,631611
73,Oklahoma City,United States,631346
74,Las Vegas,United States,623747
75,Baltimore,United States,621849
76,Brampton,Canada,620700
77,Louisville,United States,615366
78,Morelia,Mexico,608190
79,Milwaukee,United States,600155
80,Tuxtla Gutiérrez,Mexico,598710
81,Apodaca,Mexico,597207
82,Durango,Mexico,590893
83,Villa Nueva,Guatemala,564686
84,Albuquerque,United States,559121
85,Hamilton,Canada,556359
86,Quebec City,Canada,540994
87,Tonalá,Mexico,536111
88,Tucson,United States,531641
89,Cuautitlán Izcalli,Mexico,531041
90,Surrey,Canada,526004
91,Ciudad López Mateos,Mexico,523296
92,Tultitlán,Mexico,520557
93,Fresno,United States,520052
94,Carrefour,Haiti,501768
